Area,Months,Year,Temperature Change,date
Norway,6,1995,0.363,1995-06-01
Norway,7,1995,-0.489,1995-07-01
Norway,8,1995,0.3,1995-08-01
Norway,9,1995,0.374,1995-09-01
Norway,10,1995,1.235,1995-10-01
Norway,11,1995,-1.26,1995-11-01
Norway,12,1995,-2.201,1995-12-01
Norway,1,1996,1.955,1996-01-01
Norway,2,1996,-0.925,1996-02-01
Norway,3,1996,0.761,1996-03-01
Norway,4,1996,0.434,1996-04-01
Norway,5,1996,-1.372,1996-05-01
Norway,6,1996,-0.669,1996-06-01
Norway,7,1996,-0.946,1996-07-01
Norway,8,1996,2.301,1996-08-01
Norway,9,1996,-0.259,1996-09-01
Norway,10,1996,1.465,1996-10-01
Norway,11,1996,-1.168,1996-11-01
Norway,12,1996,-1.262,1996-12-01
Norway,1,1997,2.104,1997-01-01
Norway,2,1997,2.323,1997-02-01
Norway,3,1997,1.595,1997-03-01
Norway,4,1997,-1.247,1997-04-01
Norway,5,1997,-0.782,1997-05-01
Norway,6,1997,0.773,1997-06-01
Norway,7,1997,2.038,1997-07-01
Norway,8,1997,2.97,1997-08-01
Norway,9,1997,1.613,1997-09-01
Norway,10,1997,-1.115,1997-10-01
Norway,11,1997,0.258,1997-11-01
Norway,12,1997,1.612,1997-12-01
Norway,1,1998,2.483,1998-01-01
Norway,2,1998,2.047,1998-02-01
Norway,3,1998,0.062,1998-03-01
Norway,4,1998,-0.032,1998-04-01
Norway,5,1998,0.373,1998-05-01
Norway,6,1998,-0.608,1998-06-01
Norway,7,1998,0.374,1998-07-01
Norway,8,1998,-0.543,1998-08-01
Norway,9,1998,1.106,1998-09-01
Norway,10,1998,-0.189,1998-10-01
Norway,11,1998,-1.965,1998-11-01
Norway,12,1998,1.425,1998-12-01
Norway,1,1999,0.325,1999-01-01
Norway,2,1999,1.279,1999-02-01
Norway,3,1999,1.418,1999-03-01
Norway,4,1999,2.179,1999-04-01
Norway,5,1999,-0.388,1999-05-01
Norway,6,1999,0.886,1999-06-01
Norway,7,1999,0.537,1999-07-01
Norway,8,1999,-0.606,1999-08-01
